TICKER,YEAR,HEADER_CNT,HEADER_WORD_CNT,PARA_WORD_CNT,NEG_CNT,POS_CNT,CONSTR_CNT,LITI_CNT,UNCERT_CNT,MODAL_STR_CNT,MODAL_MOD_CNT,MODAL_WEA_CNT,TOT_CNT
jnpr,2016,43,395,437,164,20,24,18,146,8,4,106,1806
trmb,2016,25,239,263,96,10,14,16,78,0,0,60,806
pypl,2016,48,364,411,100,20,6,34,108,0,10,80,1357
stmp,2016,69,314,382,90,10,14,6,110,18,10,80,1166
rmbs,2016,42,328,369,128,14,10,36,110,0,12,96,1395
appf,2016,60,408,467,174,36,48,38,174,12,4,148,2139
clgx,2016,23,264,286,64,14,30,10,76,2,4,66,1032
pstg,2016,17,177,193,44,6,8,6,32,0,0,24,434
vsat,2016,38,276,313,78,18,20,28,84,0,2,70,907
mlnx,2016,51,384,434,114,22,48,16,166,10,6,130,1760
ntap,2016,6,71,76,14,2,2,2,12,0,0,10,131
klac,2016,42,365,406,134,14,14,26,114,4,2,64,1347
aapl,2016,28,225,252,36,4,20,10,56,4,0,36,743
xlnx,2016,35,268,302,100,14,16,8,80,2,4,62,1016
intu,2016,28,238,265,94,10,10,12,78,0,4,64,835
znga,2016,149,532,680,322,72,82,32,348,40,12,262,4694
panw,2016,57,452,508,142,34,16,8,178,14,2,124,1992
fit,2016,59,496,554,174,26,46,60,140,4,6,106,2308
snps,2016,25,230,254,70,12,12,8,66,4,2,60,754
lrcx,2016,34,274,307,72,24,22,8,68,10,0,48,885
efii,2016,39,299,337,72,10,10,22,92,2,2,64,1080
orcl,2016,58,234,291,112,28,8,36,152,4,0,120,1611
gwre,2016,38,386,423,128,26,30,16,128,4,6,98,1629
fb,2016,48,369,416,118,24,20,30,138,10,2,102,1581
lite,2016,45,351,395,114,24,28,44,134,6,10,96,1544
intc,2016,35,185,219,46,6,0,16,66,2,0,36,610
cdns,2016,43,335,377,98,20,32,8,126,4,4,94,1428
powi,2016,26,250,275,60,12,6,14,54,12,2,38,717
nvda,2016,25,234,258,62,18,8,4,82,4,2,60,780
csco,2016,36,272,307,134,12,8,8,96,4,4,82,1043
ftnt,2016,53,428,480,144,22,20,4,148,16,6,102,1842
smtc,2016,57,428,484,134,12,54,38,176,6,2,122,1926
newr,2016,89,402,490,246,64,46,24,232,20,12,194,3036
plt,2016,28,309,336,116,8,16,26,104,8,4,84,1123
ttmi,2016,103,409,511,272,40,60,44,322,4,24,224,3674
adsk,2016,38,328,365,146,22,8,18,98,6,6,80,1439
nano,2016,7,106,112,24,2,2,8,18,0,0,14,240
idti,2016,41,298,338,82,6,16,12,94,2,2,60,1008
feye,2016,68,471,538,182,30,20,10,206,18,10,142,2363
ntgr,2016,43,366,408,136,14,28,20,114,12,6,88,1520
rng,2016,6,68,73,14,0,2,0,10,0,0,10,127
snx,2016,44,337,380,126,22,20,4,150,6,4,118,1589
mxl,2016,54,473,526,138,18,30,20,158,8,4,116,2237
cy,2016,12,136,147,30,0,4,2,24,0,2,18,307
syna,2016,7,76,82,10,4,10,2,12,0,0,12,134
box,2016,8,102,109,12,2,0,4,20,2,0,18,205
symc,2016,40,285,324,122,20,16,14,104,0,0,84,1175
sanm,2016,28,244,271,80,6,22,18,78,0,4,68,913
