Company Name,Exchange,Ticker,Headquarter,Primary Industry, LFY Market Cap ($USD mn) ,Filing date - LFY,Filing date - LFY-1,Filing date - LFY-2
"Cornerstone OnDemand, Inc. (NasdaqGS:CSOD)",NasdaqGS,CSOD,California,Internet Software and Services," 3,167 ",27-Feb-18,24-Feb-17,26-Feb-16
"FireEye, Inc. (NasdaqGS:FEYE)",NasdaqGS,FEYE,California,Systems Software," 2,766 ",23-Feb-18,24-Feb-17,26-Feb-16
"AppFolio, Inc. (NasdaqGM:APPF)",NasdaqGM,APPF,California,Internet Software and Services," 2,640 ",26-Feb-18,27-Feb-17,29-Feb-16
"Plantronics, Inc. (NYSE:PLT)",NYSE,PLT,California,Communications Equipment," 2,652 ",9-May-18,10-May-17,16-May-16
"VeriFone Systems, Inc. (NYSE:PAY)",NYSE,PAY,California,Electronic Equipment and Instruments," 2,550 ",18-Dec-17,27-Dec-16,18-Dec-15
"Five9, Inc. (NasdaqGM:FIVN)",NasdaqGM,FIVN,California,Internet Software and Services," 2,552 ",1-Mar-18,28-Feb-17,3-Mar-16
"BlackLine, Inc. (NasdaqGS:BL)",NasdaqGS,BL,California,Application Software," 2,511 ",8-Mar-18,10-Mar-17,NA
Viavi Solutions Inc. (NasdaqGS:VIAV),NasdaqGS,VIAV,California,Communications Equipment," 2,501 ",28-Aug-18,29-Aug-17,30-Aug-16
Avaya Holdings Corp. (NYSE:AVYA),NYSE,AVYA,California,Application Software," 2,417 ",8-Mar-18,NA,NA
Finisar Corporation (NasdaqGS:FNSR),NasdaqGS,FNSR,California,Communications Equipment," 2,241 ",15-Jun-18,16-Jun-17,17-Jun-16
"Pandora Media, Inc. (NYSE:P)",NYSE,P,California,Internet Software and Services," 2,136 ",26-Feb-18,16-Feb-17,18-Feb-16
"NETGEAR, Inc. (NasdaqGS:NTGR)",NasdaqGS,NTGR,California,Communications Equipment," 2,169 ",16-Feb-18,24-Feb-17,19-Feb-16
"Power Integrations, Inc. (NasdaqGS:POWI)",NasdaqGS,POWI,California,Semiconductors," 2,120 ",14-Feb-18,8-Feb-17,11-Feb-16
"8x8, Inc. (NYSE:EGHT)",NYSE,EGHT,California,Application Software," 2,100 ",30-May-18,30-May-17,1-Jul-16
Altium Limited (ASX:ALU),ASX,ALU,California,Application Software," 2,806 ",28-Aug-17,23-Aug-16,24-Aug-15
"Cloudera, Inc. (NYSE:CLDR)",NYSE,CLDR,California,Internet Software and Services," 2,014 ",4-Apr-18,NA,NA
Sanmina Corporation (NasdaqGS:SANM),NasdaqGS,SANM,California,Electronic Manufacturing Services," 2,052 ",13-Nov-17,18-Nov-16,19-Nov-15
Razer Inc. (SEHK:1337),SEHK,1337,California,"Technology Hardware, Storage and Peripherals"," 14,885 ",25-Apr-18,29-Oct-17,NA
"TTM Technologies, Inc. (NasdaqGS:TTMI)",NasdaqGS,TTMI,California,Electronic Manufacturing Services," 1,859 ",23-Feb-18,24-Feb-17,25-Feb-16
"Hortonworks, Inc. (NasdaqGS:HDP)",NasdaqGS,HDP,California,Internet Software and Services," 1,722 ",15-Mar-18,15-Mar-17,15-Mar-16
"MINDBODY, Inc. (NasdaqGM:MB)",NasdaqGM,MB,California,Internet Software and Services," 1,733 ",1-Mar-18,1-Mar-17,4-Mar-16
"Imperva, Inc. (NasdaqGS:IMPV)",NasdaqGS,IMPV,California,Systems Software," 1,589 ",23-Feb-18,27-Feb-17,26-Feb-16
Synaptics Incorporated (NasdaqGS:SYNA),NasdaqGS,SYNA,California,Semiconductors," 1,588 ",24-Aug-18,18-Aug-17,26-Aug-16
"Oclaro, Inc. (NasdaqGS:OCLR)",NasdaqGS,OCLR,California,Communications Equipment," 1,543 ",23-Aug-18,18-Aug-17,26-Aug-16
"Electronics for Imaging, Inc. (NasdaqGS:EFII)",NasdaqGS,EFII,California,"Technology Hardware, Storage and Peripherals"," 1,504 ",16-Mar-18,22-Feb-17,19-Feb-16
TiVo Corporation (NasdaqGS:TIVO),NasdaqGS,TIVO,California,Systems Software," 1,500 ",23-Mar-16,19-Mar-15,14-Mar-14
"Arlo Technologies, Inc. (NYSE:ARLO)",NYSE,ARLO,California,Electronic Equipment and Instruments," 1,409 ",6-Jul-18,NA,NA
Inphi Corporation (NYSE:IPHI),NYSE,IPHI,California,Semiconductors," 1,440 ",28-Feb-18,1-Mar-17,29-Feb-16
"OSI Systems, Inc. (NasdaqGS:OSIS)",NasdaqGS,OSIS,California,Electronic Equipment and Instruments," 1,402 ",7-Sep-17,19-Aug-16,24-Aug-15
"ForeScout Technologies, Inc. (NasdaqGM:FSCT)",NasdaqGM,FSCT,California,Systems Software," 1,373 ",22-Feb-18,NA,NA
Quotient Technology Inc. (NYSE:QUOT),NYSE,QUOT,California,Internet Software and Services," 1,322 ",16-Feb-18,16-Feb-17,11-Mar-16
Infinera Corporation (NasdaqGS:INFN),NasdaqGS,INFN,California,Communications Equipment," 1,336 ",28-Feb-18,23-Feb-17,23-Feb-16
"MaxLinear, Inc. (NYSE:MXL)",NYSE,MXL,California,Semiconductors," 1,306 ",20-Feb-18,9-Feb-17,17-Feb-16
"Fitbit, Inc. (NYSE:FIT)",NYSE,FIT,California,Electronic Equipment and Instruments," 1,399 ",1-Mar-18,1-Mar-17,29-Feb-16
Rambus Inc. (NasdaqGS:RMBS),NasdaqGS,RMBS,California,Semiconductors," 1,253 ",23-Feb-18,17-Feb-17,19-Feb-16
"TrueCar, Inc. (NasdaqGS:TRUE)",NasdaqGS,1,California,Internet Software and Services," 1,291 ",1-Mar-18,1-Mar-17,10-Mar-16
"Ambarella, Inc. (NasdaqGS:AMBA)",NasdaqGS,AMBA,California,Semiconductors," 1,271 ",30-Mar-18,30-Mar-17,25-Mar-16
Nanometrics Incorporated (NasdaqGS:NANO),NasdaqGS,NANO,California,Semiconductor Equipment, 975 ,26-Feb-18,3-Mar-17,24-Feb-16
